dataset: 753 demos kept, 271 rejected, 355416 samples; episode length 472-472 env steps
policy: FlowMatchingPolicy, 23275k params, chunk 50, n_action_steps 15, 10 Euler steps
{"step": 100, "loss": 0.3088419437408447, "mse": 0.3088419437408447, "sec": 1.9}
{"step": 200, "loss": 0.21763457357883453, "mse": 0.21763457357883453, "sec": 3.3}
{"step": 300, "loss": 0.20364737510681152, "mse": 0.20364737510681152, "sec": 4.7}
{"step": 400, "loss": 0.1699230819940567, "mse": 0.1699230819940567, "sec": 6.2}
{"step": 500, "loss": 0.16824880242347717, "mse": 0.16824880242347717, "sec": 7.6}
{"step": 600, "loss": 0.10413749516010284, "mse": 0.10413749516010284, "sec": 9.0}
{"step": 700, "loss": 0.14752314984798431, "mse": 0.14752314984798431, "sec": 10.5}
{"step": 800, "loss": 0.09867887943983078, "mse": 0.09867887943983078, "sec": 11.9}
{"step": 900, "loss": 0.1131136491894722, "mse": 0.1131136491894722, "sec": 13.3}
{"step": 1000, "loss": 0.1340269148349762, "mse": 0.1340269148349762, "sec": 14.7}
{"step": 1100, "loss": 0.11860892176628113, "mse": 0.11860892176628113, "sec": 16.2}
{"step": 1200, "loss": 0.11319903284311295, "mse": 0.11319903284311295, "sec": 17.6}
{"step": 1300, "loss": 0.08111176639795303, "mse": 0.08111176639795303, "sec": 19.0}
{"step": 1400, "loss": 0.13376006484031677, "mse": 0.13376006484031677, "sec": 20.5}
{"step": 1500, "loss": 0.0918225422501564, "mse": 0.0918225422501564, "sec": 21.9}
{"step": 1600, "loss": 0.10026726126670837, "mse": 0.10026726126670837, "sec": 23.3}
{"step": 1700, "loss": 0.12172412872314453, "mse": 0.12172412872314453, "sec": 24.8}
{"step": 1800, "loss": 0.08783681690692902, "mse": 0.08783681690692902, "sec": 26.2}
{"step": 1900, "loss": 0.08664976060390472, "mse": 0.08664976060390472, "sec": 27.6}
{"step": 2000, "loss": 0.10125863552093506, "mse": 0.10125863552093506, "sec": 29.1}
{"step": 2100, "loss": 0.1427350789308548, "mse": 0.1427350789308548, "sec": 30.5}
{"step": 2200, "loss": 0.09422116726636887, "mse": 0.09422116726636887, "sec": 31.9}
{"step": 2300, "loss": 0.09039083123207092, "mse": 0.09039083123207092, "sec": 33.4}
{"step": 2400, "loss": 0.13733184337615967, "mse": 0.13733184337615967, "sec": 34.8}
{"step": 2500, "loss": 0.1347857415676117, "mse": 0.1347857415676117, "sec": 36.2}
{"step": 2600, "loss": 0.11048842966556549, "mse": 0.11048842966556549, "sec": 37.7}
{"step": 2700, "loss": 0.12467975169420242, "mse": 0.12467975169420242, "sec": 39.1}
{"step": 2800, "loss": 0.09930600225925446, "mse": 0.09930600225925446, "sec": 40.5}
{"step": 2900, "loss": 0.08010343462228775, "mse": 0.08010343462228775, "sec": 42.0}
{"step": 3000, "loss": 0.08399368822574615, "mse": 0.08399368822574615, "sec": 43.4}
{"step": 3100, "loss": 0.11609335988759995, "mse": 0.11609335988759995, "sec": 44.8}
{"step": 3200, "loss": 0.09018401801586151, "mse": 0.09018401801586151, "sec": 46.3}
{"step": 3300, "loss": 0.09737849980592728, "mse": 0.09737849980592728, "sec": 47.7}
{"step": 3400, "loss": 0.0867268517613411, "mse": 0.0867268517613411, "sec": 49.1}
{"step": 3500, "loss": 0.07003938406705856, "mse": 0.07003938406705856, "sec": 50.6}
{"step": 3600, "loss": 0.07055270671844482, "mse": 0.07055270671844482, "sec": 52.0}
{"step": 3700, "loss": 0.08082529902458191, "mse": 0.08082529902458191, "sec": 53.5}
{"step": 3800, "loss": 0.07497988641262054, "mse": 0.07497988641262054, "sec": 54.9}
{"step": 3900, "loss": 0.054878026247024536, "mse": 0.054878026247024536, "sec": 56.3}
{"step": 4000, "loss": 0.10071606189012527, "mse": 0.10071606189012527, "sec": 57.8}
{"step": 4100, "loss": 0.0912005677819252, "mse": 0.0912005677819252, "sec": 59.2}
{"step": 4200, "loss": 0.0669587254524231, "mse": 0.0669587254524231, "sec": 60.7}
{"step": 4300, "loss": 0.1240534633398056, "mse": 0.1240534633398056, "sec": 62.1}
{"step": 4400, "loss": 0.07016558200120926, "mse": 0.07016558200120926, "sec": 63.5}
{"step": 4500, "loss": 0.0962328165769577, "mse": 0.0962328165769577, "sec": 65.0}
{"step": 4600, "loss": 0.10668296366930008, "mse": 0.10668296366930008, "sec": 66.4}
{"step": 4700, "loss": 0.0802338495850563, "mse": 0.0802338495850563, "sec": 68.0}
{"step": 4800, "loss": 0.08777717500925064, "mse": 0.08777717500925064, "sec": 69.4}
{"step": 4900, "loss": 0.06645230203866959, "mse": 0.06645230203866959, "sec": 70.8}
{"step": 5000, "loss": 0.07824142277240753, "mse": 0.07824142277240753, "sec": 72.3}
{"step": 5100, "loss": 0.14809846878051758, "mse": 0.14809846878051758, "sec": 73.7}
{"step": 5200, "loss": 0.11760218441486359, "mse": 0.11760218441486359, "sec": 75.1}
{"step": 5300, "loss": 0.10282190889120102, "mse": 0.10282190889120102, "sec": 76.6}
{"step": 5400, "loss": 0.056054554879665375, "mse": 0.056054554879665375, "sec": 78.0}
{"step": 5500, "loss": 0.08124949783086777, "mse": 0.08124949783086777, "sec": 79.4}
{"step": 5600, "loss": 0.09236524999141693, "mse": 0.09236524999141693, "sec": 81.0}
{"step": 5700, "loss": 0.05849352106451988, "mse": 0.05849352106451988, "sec": 82.4}
{"step": 5800, "loss": 0.0784575417637825, "mse": 0.0784575417637825, "sec": 83.8}
{"step": 5900, "loss": 0.056011781096458435, "mse": 0.056011781096458435, "sec": 85.3}
{"step": 6000, "loss": 0.08632385730743408, "mse": 0.08632385730743408, "sec": 86.7}
