dataset: 774 demos kept, 250 rejected, 251550 samples; episode length 325-325 env steps
policy: FlowMatchingPolicy, 23275k params, chunk 50, n_action_steps 15, 10 Euler steps
{"step": 100, "loss": 0.3236083388328552, "mse": 0.3236083388328552, "sec": 1.9}
{"step": 200, "loss": 0.17056897282600403, "mse": 0.17056897282600403, "sec": 3.3}
{"step": 300, "loss": 0.17301787436008453, "mse": 0.17301787436008453, "sec": 4.8}
{"step": 400, "loss": 0.16227242350578308, "mse": 0.16227242350578308, "sec": 6.3}
{"step": 500, "loss": 0.16492046415805817, "mse": 0.16492046415805817, "sec": 7.8}
{"step": 600, "loss": 0.12416709214448929, "mse": 0.12416709214448929, "sec": 9.3}
{"step": 700, "loss": 0.14027400314807892, "mse": 0.14027400314807892, "sec": 10.7}
{"step": 800, "loss": 0.08720403909683228, "mse": 0.08720403909683228, "sec": 12.2}
{"step": 900, "loss": 0.10282852500677109, "mse": 0.10282852500677109, "sec": 13.7}
{"step": 1000, "loss": 0.13287042081356049, "mse": 0.13287042081356049, "sec": 15.3}
{"step": 1100, "loss": 0.11134368181228638, "mse": 0.11134368181228638, "sec": 16.7}
{"step": 1200, "loss": 0.10872794687747955, "mse": 0.10872794687747955, "sec": 18.2}
{"step": 1300, "loss": 0.0760873481631279, "mse": 0.0760873481631279, "sec": 19.6}
{"step": 1400, "loss": 0.1382160484790802, "mse": 0.1382160484790802, "sec": 21.1}
{"step": 1500, "loss": 0.08934106677770615, "mse": 0.08934106677770615, "sec": 22.5}
{"step": 1600, "loss": 0.09944870322942734, "mse": 0.09944870322942734, "sec": 23.9}
{"step": 1700, "loss": 0.10706666857004166, "mse": 0.10706666857004166, "sec": 25.4}
{"step": 1800, "loss": 0.09521137177944183, "mse": 0.09521137177944183, "sec": 26.8}
{"step": 1900, "loss": 0.07960722595453262, "mse": 0.07960722595453262, "sec": 28.2}
{"step": 2000, "loss": 0.09671512246131897, "mse": 0.09671512246131897, "sec": 29.7}
{"step": 2100, "loss": 0.1289690136909485, "mse": 0.1289690136909485, "sec": 31.1}
{"step": 2200, "loss": 0.07591518759727478, "mse": 0.07591518759727478, "sec": 32.5}
{"step": 2300, "loss": 0.09442383050918579, "mse": 0.09442383050918579, "sec": 34.0}
{"step": 2400, "loss": 0.12589894235134125, "mse": 0.12589894235134125, "sec": 35.4}
{"step": 2500, "loss": 0.12410110235214233, "mse": 0.12410110235214233, "sec": 36.8}
